중고수(v4~v5),,,,,,,,파랑,보라,,,보라,,,,빨강,주황,,,빨강,,흰색,,,보라,초록,핑크,,C,파랑,검정,,,,,,,,,남색,남색,회색,,,,,,,,갈색,회색,,,검정,,보라,,,남색,,갈색
v4~v5,빨강,,빨강,,,,,,,,검정,,,,,,,남색,,,,,,하늘,,,,,,,,,,,,,,,5급,,,,,보라,파랑,,,,,,,,,,노랑,,초록,남색,파랑,,
,,회색,,,,파랑,,,,,,,보라,,,,,,하늘,,,,초록,,,,,빨강,,,초록,,파랑,,하늘,핑크,빨강,,,,,갈색,남색,,,,남색,남색,,,,갈색,,,,,,,,초록,
중고수진입(v3~4),,,,파랑,남색,,,빨강,남색,,,남색,,,파랑,,,,,보라,남색,빨강,연두,,,,,,,,,,,남색,흰색,,,,,,,,,,,,,,,회색,,,,보라,,남색,,파랑,초록,,
,,빨강,,,,,,,,,남색,,남색,,,주황,노랑,파랑,,,,,,,남색,파랑,보라,,D,초록,,,,,,,,3급,6급,파랑,,빨강,,,,,,,,,보라,보라,,,,,,,,,보라
v3,,,핑크,,,핑크,,,,,,,,흰색,초록,,,,회색,,,,노랑,초록,,,,남색,,,빨강,,,,남색,초록,,,,,파랑,,,,초록,,,파랑,,,,,,,,,,,,,
중수(v2~v3),파랑,,,,,,파랑,초록,,,,하늘,하늘,,,,,,,파랑,,하늘,,,,,,,,,,,초록,파랑,,,파랑,,,,,,,,,,,,,빨강,,,,남색,핑크,파랑,노랑,초록,노랑,,
v2,,파랑,,,파랑,,,,파랑,,초록,,,파랑,,,,초록,연두,,파랑,,핑크,,하늘,,,파랑,,노랑,주황,,,,,,,,,초록,,파랑,,,,,,,,,남색,빨강,,,,,,,,파랑,
세수(v1~v2),,,,,,초록,,,,,,초록,초록,,노랑,,,,,,,초록,,,,핑크,,,,,,,,,빨강,흰색,,,,,,,,,,,,초록,,,,,,,,,,,,,빨강
,,,초록,초록,,,,,,,,,,,,,,노랑,,초록,,,주황,,초록,,,,,,,,노랑,초록,,,,,,,초록,,,,노랑,,,,,파랑,,,,파랑,,초록,,노랑,,,
백수(v1),,,,,,,,,,,,노랑,,연두,,"파랑
",,,초록,,,,,,,,,초록,E,주황,하늘,,,,,,,,,노랑,,,,,,,,,,,파랑,파랑,,,,,,,,,
,초록,,,,,,,노랑,,,,,노랑,,,,연두,,,,,핑크,,연두,노랑,,,,,,,,,,노랑,,,,,,,핑크,,,,,,노랑,,,,,,,흰색,,주황,,주황,,
백산수(v0),,,,,,,회색,,,,,,,,,,,주황,,노랑,초록,,빨강,,,,,,,,,,주황,,,노랑,,,,주황,,,,,주황,,,,,초록,,,,초록,,,,주황,,빨강,파랑
,,,,,,노랑,,,,,,주황,주황,노랑,주황,,,,,,,노랑,,,,,,노랑,,,핑크,,,,,,,,,,노랑,,,,,,,주황,,,초록,핑크,,,,,,,,,
삼다수(vb),,,하늘,노랑,,,,,,,,,,,,,,빨강,주황,,,,,노랑,주황,,,,F,,,,빨강,,초록,,,,,빨강,,,,,,,,,,연두,,,,노랑,,,빨강,,빨강,,
,,,,,,,,흰색,,,,,,,,,파랑,,,,,주황,,,,,,,,,,,,,,,,,,,,노랑,,,빨강,,,빨강,,,노랑,,,,,,,,,,초록
청정수(vbb),주황,,주황,,,,,,,,,빨강,빨강,빨강,,초록,,,,흰색,,,,,,,,,,,노랑,,,,,,,,,,주황,,,,,,,,,노랑,,노랑,,주황,,,,,,주황,
,,,,,,,,,,,,,,,,,,,노랑,,노랑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,주황,,,,,,,,,,연두
,,,,,,,노랑,,,,,,,,빨강,,,,,,,,,,빨강,,,,G,,,,,,핑크,,,,,,,,,,흰색,,,,,흰색,,,,빨강,,,,,,,
정상수(vbbb),노랑,,,주황,,,,,,,,,,,,주황,,흰색,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,빨강,,,,,,,,,노랑,노랑
,,,노랑,,,,,,,,,핑크,,,,,,,,,,,,,갈색,,,,,,,,,,,,,,,,빨강,,,,,,,,,,,,,,,,,,,,
펭수(커엽)(vbbbbb),흰색,,,빨강,,,,,,,,,,,,노랑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,흰색
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,핑크,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
